POPULATION,CODE,REGION,N_I,D_I,PERCENT_I,N_T,D_T,PERCENT_T
Austria,AT,0,0,531 160,0.0,196 049,531 160,36.9
Belgium,BE,0,689 459,691 514,99.7,228 204,691 514,33.0
Belgium Brussels,BE,1,58 499,58 008,100,6 040,58 008,10.4
Belgium Flanders,BE,1,406 908,406 504,100,204 101,406 504,50.2
Belgium Wallonia,BE,1,224 052,227 003,98.7,18 063,227 003,8.0
Bulgaria,BG,0,0,527 002,0,0,527 002,0
Croatia,HR,0,610 279,582 397,100,262 910,582 397,45.1
Cyprus All,CY,0,19 385,48 904,39.6,8 091,48 904,16.5
Czech Republic,CZ,0,0,708 367,0.0,418 475,708 367,59.1
Denmark,DK,0,294 022,357 246,82.3,257 224,357 246,72.0
Estonia,EE,0,49 906,72 087,69.2,33 106,72 087,45.9
Finland,FI,0,342 616,373 976,91.6,284 433,373 976,76.1
France,FR,0,4 212 556,4 102 054,100,2 146 905,4 102 054,52.3
Germany,DE,0,4 881 399,5 377 480,90.8,2 832 631,5 377 480,52.7
Greece,GR,0,0,692 509,0.0,0,692 509,0.0
Hungary,HU,0,431 408,549 682,78.5,210 887,549 682,38.4
Ireland,IE,0,210 072,189 595,100,144 508,189 595,76.2
Italy,IT,0,2 737 153,3 875 770,70.6,1 515 395,3 875 770,39.1
Latvia,LV,0,142 115,144 392,98.4,48 459,144 392,33.6
Lithuania,LT,0,0,207 552,0.0,93 113,207 552,44.9
Luxembourg,LU,0,31 834,29 603,100,17 893,29 603,60.4
Malta,MT,0,15 531,19 716,78.8,7 169,19 716,36.4
Netherlands,NL,0,1 049 781,1 086 042,96.7,841 444,1 086 042,77.5
Poland,PL,0,2 637 179,2 591 705,100,1 141 351,2 591 705,44.0
Portugal,PT,0,364 246,696 295,52.3,219 458,696 295,31.5
Portugal Alentejo,PT,1,35 212,49 085,71.7,20 589,49 085,41.9
Portugal Azores,PT,1,11 028,15 573,70.8,7 808,15 573,50.1
Portugal Centre,PT,1,123 666,155 141,79.7,82 561,155 141,53.2
Portugal Lisboa,PT,1,48 378,190 629,25.4,25 760,190 629,13.5
Portugal Norte,PT,1,145 962,243 609,59.9,82 740,243 609,34.0
Portugal Algarve and Madeira,PT,1,44 241,0.0,44 241,0.0
Romania,RO,0,3 000,1 297 027,0.2,2 460,1 297 027,0.2
Slovakia,SK,0,0,351 211,0.0,0,351 211,0.0
Slovenia,SI,0,28 066,134 371,20.9,25 695,134 371,19.1
Spain,ES,0,2 349 369,2 772 700,84.7,1 654 865,2 772 700,59.7
Sweden,SE,0,0,0,0,0,0,0
Sweden Norra,SE,1,29 918,32 753,91.3,26 512,32 753,80.9
Sweden Södra,SE,1,194 822,209 208,93.1,162 621,209 208,77.7
Sweden Stockholm Gotland,SE,1,114 023,119 236,95.6,83 451,119 236,70.0
Sweden Sydöstra,SE,1,104 917,108 699,96.5,87 101,108 699,80.1
Sweden Uppsala Örebro,SE,1,224 232,215 880,103.9,185 702,215 880,86.0
Sweden Västra Götalands,SE,1,210 625,255 389,82.5,174 302,255 389,68.2
United Kinkgdom,GB,0,2 849 738,2 543 036,100,2 098 382,2 543 036,82.5
England,GB,1,2 399 319,2 113 303,113.5,1 770 435,2 113 303,83.8
Northern Ireland,GB,1,72 642,68 728,105.7,56 088,68 728,81.6
Scotland,GB,1,236 670,229 283,100,172 427,229 283,75.2
Wales,GB,1,141 107,131 719,100,99 432,131 719,75.5
